doctype,filename,url,title,operating_unit,project_id,document_category,pdc_document_type,document_id,modified,created,UN Languages,id,last_update,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,v1,v2
document deleted,PRODOC 118494.pdf,Document deleted,PRODOC 118494,PRY,00123171,Project,PRODOC,ATLASPDC-4-108745,2/27/2020,11/21/2019,,0,16/03/21,ok,ok,2.0,18.0,False,False,False,False,True,False,True,True,True,False,ok,ok
document deleted,Doc_MPTF_Estabilización territorial-firmado.pdf,Document deleted,Doc_MPTF_Estabilización territorialfirmado,COL,00123292,Project,PRODOC,ATLASPDC-4-122278,8/17/2020,8/17/2020,,0,16/03/21,ok,review,1.0,39.0,False,False,False,False,False,False,True,False,False,False,ok,ok
document deleted,Signed SSCAF Malawi Proposal ENG.pdf,Document deleted,Malawi – People’s Republic of China Post-Disaster Recovery Partnership 2019: Restoration of Houses and Essential Public Infrastructure in 4 Communities in Southern Malawi,MWI,00123350,Project,PRODOC,ATLASPDC-4-108106,1/21/2020,11/08/19,,0,16/03/21,ok,ok,1.0,32.0,False,False,False,False,False,False,True,True,False,False,ok,ok
document deleted,prodoc 1-merged.pdf,Document deleted,Prodoc Bienestar Ciudadano,PRY,00123355,Project,PRODOC,ATLASPDC-4-110425,01/03/20,01/03/20,,0,16/03/21,ok,ok,2.0,59.0,False,False,False,False,True,False,True,True,True,False,ok,ok
document deleted,PRODOC Appui CSM.pdf,Document deleted,PRODOC Appui CSM,TUN,00123432,Project,PRODOC,ATLASPDC-4-108439,11/14/2019,11/14/2019,,0,16/03/21,ok,ok,3.0,14.0,True,False,True,False,False,False,True,True,False,False,ok,ok
document deleted,Prodoc CSM.pdf,Document deleted,Document du Projet_CSM,TUN,00123432,Project,PRODOC,ATLASPDC-4-124735,10/23/2020,10/23/2020,,0,16/03/21,ok,ok,3.0,14.0,True,False,True,False,False,False,True,True,False,False,ok,ok
document deleted,UNDP Mali_PIP_PROSMED.pdf,Document deleted,PIP PRODOC,MLI,00123513,Project,PRODOC,ATLASPDC-4-108871,11/26/2019,11/26/2019,,0,16/03/21,ok,ok,4.0,16.0,True,True,True,False,False,False,True,True,False,False,ok,ok
document deleted,UNICEF-PNUD-ASFC PBF Project_Jeunes engagés pour la paix_Full.pdf,Document deleted,PRODOC PBF jeunes et réconciliation,MLI,00123513,Project,PRODOC,ATLASPDC-4-129921,1/27/2021,1/27/2021,,0,16/03/21,ok,ok,3.0,88.0,True,False,True,False,False,False,True,True,True,False,ok,ok
document deleted,ECRP KSA Famine Response Prodoc - Draft_8 Dec - Copy.docx,Document deleted,ECRP KSA Famine Response Prodoc - Draft,YEM,00123521,Project,PRODOC,ATLASPDC-4-116349,03/08/20,03/08/20,,0,16/03/21,ok,ok,7.0,58.0,True,True,True,True,True,True,True,True,True,False,ok,ok
document deleted,GCP PHASE II INITIATION PLAN FINAL 0412.pdf,Document deleted,GCP Phase II Initiation Plan,R46,00123562,Project,PRODOC,ATLASPDC-4-114957,02/11/20,1/29/2020,,0,16/03/21,ok,ok,5.0,13.0,True,True,True,True,False,False,True,True,True,False,ok,ok
document deleted,UN Montenegro - Joint SDG Fund ProDoc - 01112019 - FINAL approved.pdf,Document deleted,Activate - ProDoc,MNE,00123602,Project,PRODOC,ATLASPDC-4-110942,1/14/2020,1/14/2020,,0,16/03/21,ok,review,3.0,70.0,False,False,False,False,True,True,True,False,False,False,ok,ok
document deleted,ProDoc_EDR.pdf,Document deleted,Project Document,SOM,00123648,Project,PRODOC,ATLASPDC-4-108848,11/26/2019,11/26/2019,,0,16/03/21,ok,ok,6.0,36.0,True,True,True,True,True,False,True,True,True,False,ok,ok
